,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Sprint_Speed,Vision,Finishing,Player_Height
108,5,34,47,57,51,86,80,44,46,86,34,59,46,187
109,3,74,83,81,77,69,84,60,55,63,78,85,82,189
111,3,33,70,87,75,76,71,54,67,70,33,87,56,183
113,1,70,83,64,76,46,79,53,57,46,71,73,85,182
117,5,52,57,68,64,87,81,57,38,88,54,63,48,188
118,1,89,83,69,81,25,70,78,64,15,89,74,85,188
120,5,78,51,55,60,85,83,63,67,87,83,52,44,186
122,5,52,61,70,65,84,78,54,58,80,54,74,55,190
126,3,79,78,78,81,81,84,81,84,78,78,76,75,176
129,5,65,47,63,65,84,78,65,61,85,67,57,48,187
130,5,73,64,73,71,82,79,74,56,81,73,68,56,189
131,4,79,56,75,74,84,77,75,73,86,79,68,46,178
133,3,69,77,80,81,68,76,77,75,62,69,81,76,177
134,3,72,75,82,89,57,62,90,85,49,68,84,69,174
135,5,77,46,56,62,84,84,60,48,84,77,49,50,192
138,4,87,64,75,81,79,76,79,76,76,90,70,57,180
139,3,67,70,76,72,81,88,57,53,76,68,77,64,194
140,2,70,70,78,89,31,61,86,84,16,67,82,75,176
141,1,82,82,66,74,34,84,62,48,27,86,69,84,190
142,5,80,19,42,60,86,82,69,60,88,80,22,10,189
143,3,71,75,85,82,55,74,77,78,50,69,89,71,178
144,3,70,58,73,67,81,87,59,52,75,73,73,42,186
146,3,51,66,81,72,72,77,55,62,71,54,86,49,185
147,5,77,45,60,63,85,78,58,47,84,78,56,40,191
148,1,73,84,71,78,42,81,74,62,41,77,72,88,188
149,2,77,79,80,86,34,64,83,75,25,77,81,77,187
150,3,54,59,74,74,82,85,49,46,78,54,77,55,187
151,1,85,81,64,81,24,74,81,75,12,85,66,88,181
152,3,69,71,80,83,71,81,68,64,65,66,83,68,188
153,5,65,50,66,61,86,78,49,55,86,71,52,45,189
156,5,72,55,56,53,83,81,71,62,81,75,45,52,183
157,2,85,80,79,82,42,76,78,67,26,87,79,77,186
159,1,79,82,59,77,26,68,75,77,17,80,60,89,181
160,3,74,75,83,86,58,67,85,58,49,75,86,73,187
161,5,61,24,45,53,86,82,33,55,87,64,24,11,190
163,5,66,53,71,68,83,80,69,76,82,65,68,42,174
164,3,52,72,79,75,78,77,53,59,70,52,82,66,184
165,2,88,78,76,87,29,64,94,73,19,89,74,74,180
167,4,82,45,74,79,82,79,82,79,85,85,58,41,173
176,2,84,76,81,88,18,60,89,84,10,83,80,70,175
177,2,83,73,80,84,33,64,84,75,23,83,84,75,178
179,3,69,64,73,70,81,82,69,72,75,69,72,50,185
180,5,27,41,56,48,88,75,29,28,88,28,58,36,198
181,4,81,59,73,76,79,80,75,77,76,84,62,45,182
183,3,51,76,83,75,75,74,67,63,68,52,85,70,183
185,2,73,78,85,83,38,59,83,85,32,73,85,72,170
187,5,68,47,62,66,85,77,64,60,84,68,64,44,182
188,1,81,83,77,85,45,80,82,88,39,80,78,84,173
189,4,84,58,74,77,79,79,75,62,82,89,72,54,180
193,4,75,75,81,77,80,74,75,85,81,75,76,70,170
195,5,70,43,56,62,82,82,58,59,81,72,53,37,182
196,5,67,58,52,61,84,76,62,51,83,66,56,56,193
198,5,54,35,52,62,84,79,62,56,84,54,55,40,187
201,2,89,75,78,87,36,55,93,92,30,86,80,71,169
202,1,79,84,75,79,35,67,83,77,23,78,76,87,173
203,3,68,64,73,73,82,80,65,66,77,69,76,59,185
205,1,83,81,66,78,31,64,79,84,22,79,72,89,175
206,1,64,82,69,72,38,83,60,52,26,64,75,84,192
207,3,66,76,78,76,81,85,58,55,76,68,80,70,189
211,3,52,72,78,74,78,76,53,59,70,52,81,66,184
213,1,89,79,78,87,26,60,93,93,23,88,85,81,164
214,3,67,59,70,71,83,82,66,62,79,67,69,46,187
216,2,77,75,79,83,43,46,86,80,37,77,83,75,179
218,2,79,68,75,87,34,49,92,92,30,74,80,77,175
219,2,82,76,77,84,37,62,84,82,30,78,74,80,167
220,5,60,24,43,53,85,82,33,55,86,63,23,11,190
221,5,70,57,63,60,83,79,66,69,82,73,52,58,184
224,4,74,67,81,78,80,75,75,73,79,74,74,59,180
226,4,85,66,73,77,80,85,76,78,80,85,71,65,176
230,2,77,79,79,84,39,67,84,81,30,76,81,82,175
233,4,82,45,72,79,81,78,82,79,84,85,57,41,173
235,5,69,45,51,52,84,83,57,51,85,70,27,37,185
236,1,73,79,66,73,47,88,66,57,34,76,72,81,188
241,3,75,75,80,84,64,73,84,76,40,71,84,76,172
243,3,80,66,75,78,81,84,74,91,75,80,77,65,169
245,1,83,81,63,80,24,74,80,74,12,83,64,88,181
247,5,75,26,43,57,84,86,53,48,85,79,34,19,195
251,3,69,71,79,81,71,81,66,62,65,66,81,68,188
255,1,82,82,73,85,29,64,92,77,20,77,68,85,176
256,5,70,69,63,62,85,74,53,42,82,73,58,57,198
260,3,53,59,74,74,80,83,49,46,76,53,77,55,187
265,5,74,67,81,78,80,75,75,73,79,74,74,59,180
273,3,39,64,91,76,48,55,44,64,40,33,94,58,177
275,4,77,51,72,76,83,73,79,87,82,75,62,33,174
276,5,67,46,58,55,83,81,51,64,82,68,39,30,183
281,4,68,56,70,74,84,83,71,66,86,68,66,49,178
282,1,74,79,80,85,41,67,84,83,29,72,83,81,174
283,3,63,72,80,76,73,74,73,73,70,63,79,67,180
284,1,72,83,62,73,28,78,64,55,20,75,62,86,189
286,5,61,41,57,59,84,76,55,56,85,62,49,27,190
288,3,71,64,80,74,74,76,76,78,70,69,80,52,178
289,5,70,65,69,67,84,80,65,73,85,72,63,64,181
291,4,75,53,66,74,82,80,68,76,84,75,59,40,176
297,5,63,44,51,54,84,82,34,34,83,69,51,38,192
298,3,82,66,80,83,66,66,84,88,57,80,82,60,169
299,4,79,66,73,74,81,80,67,67,79,82,70,61,184
300,2,77,73,78,83,24,48,83,84,20,75,86,71,170
301,3,66,63,75,75,80,82,71,71,76,64,73,64,185
302,3,71,74,77,82,73,80,82,60,69,74,78,71,186
303,5,66,54,63,63,84,81,62,62,81,67,65,43,186
306,4,79,68,72,78,81,78,77,74,83,79,70,65,177
308,5,52,47,67,66,82,82,57,46,83,55,60,38,192
309,5,59,54,48,58,82,81,57,50,81,63,22,45,190
310,5,62,33,62,56,81,84,61,55,79,68,49,23,187
314,3,60,76,82,80,76,67,71,56,78,60,84,70,175
315,3,58,64,71,69,79,87,38,31,73,62,68,57,190
316,2,82,77,81,82,60,73,79,77,54,81,80,74,181
317,3,76,69,81,84,62,73,83,87,61,74,85,64,172
318,3,54,77,87,78,59,73,73,68,52,53,85,75,180
319,3,54,73,73,69,83,83,54,38,85,54,74,72,195
320,3,72,72,81,84,64,71,84,83,61,68,86,71,182
322,2,86,77,78,84,53,72,87,94,51,84,79,74,169
323,5,58,40,60,63,82,81,54,41,82,55,56,33,188
330,5,74,26,43,56,82,86,53,48,83,78,34,19,195
332,1,78,81,57,76,26,66,75,76,17,79,58,88,181
333,1,79,80,78,84,40,72,82,78,24,79,83,82,181
334,2,93,71,72,86,46,61,90,91,48,92,76,73,170
336,4,85,79,78,81,76,76,87,84,73,84,75,76,173
339,5,75,64,70,70,82,78,68,66,80,75,56,51,181
341,5,73,38,67,69,84,76,68,68,84,73,51,33,183
343,1,93,80,63,77,54,79,77,79,52,93,72,84,178
344,2,88,80,75,85,30,72,87,73,22,88,77,80,183
345,2,91,79,70,87,42,76,86,85,35,91,70,82,184
348,5,81,41,53,59,82,83,67,65,82,83,35,33,187
355,5,34,47,55,51,84,78,44,46,84,34,56,46,187
356,3,78,60,70,77,80,80,77,82,77,76,73,48,174
357,5,75,61,66,68,82,83,57,51,79,75,59,55,193
359,3,74,70,82,76,76,81,74,71,72,73,80,67,182
360,4,85,66,74,81,78,84,75,86,78,85,67,58,181
362,4,90,63,74,74,79,81,70,74,77,93,68,51,178
363,2,76,76,75,79,61,77,74,58,57,73,77,77,188
366,3,76,48,68,73,80,83,78,92,78,76,72,31,171
367,2,92,73,71,86,45,66,86,84,37,92,72,78,175
368,1,71,81,64,79,36,74,86,75,16,68,68,82,177
372,2,79,72,83,82,41,61,77,76,31,74,83,69,178
373,2,83,73,80,81,40,66,77,79,23,79,84,70,173
375,3,74,74,80,81,65,70,81,74,53,72,84,67,178
377,5,60,42,65,60,83,82,56,58,80,62,56,37,185
378,3,33,70,86,74,72,70,53,66,66,33,86,56,183
380,1,77,80,64,73,32,81,68,56,25,80,62,84,187
381,2,74,66,74,87,34,49,92,92,30,69,78,74,175
382,3,82,68,78,85,58,62,91,81,43,79,83,65,178
383,5,72,27,58,57,82,78,48,34,83,78,61,19,194
384,3,81,77,81,83,60,69,85,86,52,78,81,75,172
385,2,92,79,75,86,47,63,90,83,38,90,79,74,172
386,2,81,77,77,83,45,72,85,85,47,79,78,77,172
387,2,83,76,78,87,48,66,93,84,45,82,80,77,174
407,3,55,69,78,74,68,75,60,56,53,55,82,62,183
408,1,65,83,76,80,33,64,70,59,23,64,79,82,187
409,1,74,82,74,80,36,71,79,74,20,75,75,84,179
410,3,54,81,83,75,68,75,59,60,63,54,78,76,183
412,3,52,66,80,73,76,67,58,63,74,52,85,59,188
413,1,66,82,69,75,36,79,63,56,22,66,76,82,189
414,1,77,78,71,79,25,70,74,54,17,78,76,77,186
420,3,77,75,76,78,76,78,79,79,72,77,75,70,176
422,4,76,75,85,75,78,76,71,65,78,81,86,69,178
425,2,76,76,81,79,53,76,77,75,55,73,85,73,185
426,5,68,61,67,59,80,75,60,57,80,67,51,52,183
429,1,71,80,64,78,36,72,85,75,16,68,68,81,177
430,3,67,76,82,78,74,74,74,77,71,68,82,71,174
432,5,54,44,52,50,82,84,62,57,82,54,50,53,191
439,3,69,70,78,79,68,75,75,75,57,71,82,69,177
440,2,80,74,77,85,65,66,86,85,67,76,78,73,172
441,4,77,53,72,75,81,73,75,70,83,75,66,39,178
442,4,82,64,78,78,77,71,81,78,79,82,70,58,172
443,4,84,72,77,78,74,73,78,77,71,84,71,67,179
445,1,89,80,68,74,34,72,77,65,23,89,71,83,185
448,1,78,82,75,84,33,68,79,69,26,79,78,82,183
450,1,77,79,65,75,32,84,74,48,25,79,73,79,190
451,2,90,76,70,82,35,63,83,81,24,90,74,74,178
452,3,50,63,68,65,80,79,46,55,73,54,59,58,186
454,2,76,73,81,82,48,67,75,77,44,76,82,63,182
456,4,87,61,75,73,78,74,80,76,83,90,76,61,178
461,4,90,63,72,73,78,81,70,73,77,93,67,51,178
463,5,76,44,67,70,79,75,68,78,78,78,67,33,180
465,5,59,53,68,63,81,79,59,68,77,60,62,48,180
468,3,68,72,79,76,75,80,66,68,69,69,81,66,186
469,1,72,82,59,74,39,85,67,72,25,75,65,83,182
470,4,88,62,73,78,74,79,77,74,66,91,66,59,180
471,4,86,61,71,78,79,76,84,76,80,86,64,54,175
472,2,87,75,70,84,31,59,83,82,25,87,73,75,178
473,5,61,56,77,76,81,76,73,75,80,58,77,46,180
474,2,83,73,76,84,32,52,90,55,18,80,77,75,171
476,3,81,66,80,83,67,69,82,75,64,81,82,61,182
478,3,67,62,71,70,82,82,64,65,81,67,65,55,187
480,5,60,42,64,60,81,81,56,58,79,62,56,37,185
481,3,75,76,83,82,59,71,87,84,54,75,85,73,180
483,2,91,75,75,83,31,61,87,82,27,92,77,76,179
484,5,73,46,62,68,84,69,67,69,83,70,43,43,184
485,1,82,82,72,79,26,72,74,56,18,84,72,79,186
486,1,88,78,72,80,35,75,81,69,30,88,73,81,182
487,2,78,73,76,82,56,75,70,59,56,78,81,70,189
489,3,74,75,77,79,71,73,74,74,63,73,78,75,174
490,5,64,49,57,58,83,77,33,41,85,64,52,37,192
491,3,77,64,76,78,79,80,79,82,76,76,79,62,175
492,1,79,81,78,79,39,82,73,81,17,79,80,81,179
493,4,79,69,76,77,79,75,75,75,80,76,75,71,182
496,1,83,80,59,79,27,73,84,78,16,84,63,83,185
497,3,77,64,80,77,70,68,82,74,63,77,83,57,180
498,2,88,74,77,82,48,68,83,78,38,90,81,75,173
500,2,91,72,70,86,45,65,86,84,37,91,71,77,175
501,4,92,67,71,81,74,75,83,83,73,93,63,53,178
502,5,58,39,49,44,83,80,33,33,82,63,30,20,195
503,2,93,76,74,84,19,58,88,86,11,93,69,76,178
504,5,66,28,47,55,83,79,54,58,83,69,31,22,193
507,2,72,70,83,82,39,61,77,76,30,68,83,68,178
512,4,83,63,72,77,79,78,73,76,80,84,70,57,173
513,1,77,85,62,80,25,66,84,89,24,77,68,86,170
514,2,92,75,77,86,30,56,91,88,24,91,74,71,175
515,2,89,71,77,87,31,60,93,95,24,86,78,69,165
517,1,66,80,68,73,31,73,58,42,11,65,71,82,193
518,1,81,82,61,76,38,74,74,63,31,84,59,84,184
519,1,77,81,69,79,26,75,69,50,16,78,71,82,189
521,5,54,53,69,64,81,76,54,64,77,55,63,48,188
523,1,83,79,77,85,34,65,92,87,28,82,80,83,170
525,4,83,71,70,73,80,81,69,60,83,83,57,70,178
528,3,53,59,65,70,81,85,57,57,78,54,62,51,185
529,2,91,69,73,87,26,60,93,77,20,92,72,74,179
536,2,76,73,81,82,48,67,75,77,44,76,82,63,182
540,4,74,65,73,73,79,77,77,74,80,72,64,59,177
542,4,84,65,73,79,76,83,74,84,76,84,67,58,181
543,4,82,63,71,77,78,77,73,76,79,83,70,57,173
545,5,44,54,49,40,81,86,26,42,81,53,32,46,191
548,2,77,74,82,80,59,71,78,77,55,77,83,72,179
551,4,83,43,65,73,79,68,77,75,80,85,59,34,176
553,3,76,72,72,74,75,80,66,70,76,77,74,66,183
556,3,54,67,82,80,72,69,78,73,67,50,82,61,180
557,4,76,66,73,79,78,72,70,76,77,76,69,65,179
558,3,76,72,80,79,66,71,79,59,59,76,80,69,181
562,4,65,61,64,61,86,84,57,47,87,66,57,57,185
563,1,86,78,68,80,27,68,81,69,16,85,66,79,180
564,3,64,71,84,83,55,66,74,78,50,60,86,57,180
566,3,52,59,65,68,80,84,56,56,78,53,62,51,185
567,2,81,74,75,78,72,85,76,63,69,82,68,72,187
568,1,74,79,79,81,38,71,76,76,35,73,80,78,180
570,3,74,70,81,75,71,80,74,71,68,73,80,67,182
572,1,82,69,78,85,32,60,80,79,24,79,84,66,179
573,2,88,70,74,85,36,48,94,93,32,85,76,64,172
574,2,88,73,72,84,32,62,86,79,25,89,75,72,177
576,4,81,57,72,77,80,72,73,74,80,83,69,47,178
578,1,86,75,71,80,34,79,85,64,23,85,72,77,185
579,3,80,73,77,82,71,76,82,82,68,80,76,65,173
580,3,73,72,81,78,75,76,77,66,77,73,81,67,183
581,2,83,75,73,86,48,64,92,84,45,82,75,76,174
582,4,77,51,69,69,79,79,68,65,79,79,52,37,180
586,2,91,75,74,83,26,73,86,75,22,91,71,74,180
588,2,90,77,72,84,30,76,84,84,24,89,73,72,176
590,2,91,76,74,82,32,68,86,77,19,91,77,74,180
591,5,73,50,58,55,80,81,48,52,80,77,57,47,190
592,5,70,31,55,51,82,75,64,58,81,74,46,27,188
593,4,82,51,70,78,79,79,80,75,81,86,65,44,185
595,2,74,80,80,78,41,57,76,76,32,73,79,74,178
596,3,76,66,78,78,78,82,75,70,78,79,80,60,188
599,2,87,64,77,82,37,51,84,79,22,87,78,63,182
600,2,75,74,74,78,61,77,74,58,57,73,76,75,188
601,1,83,78,76,84,34,63,91,86,28,82,79,82,170
603,3,75,62,72,74,79,79,76,77,77,74,73,55,179
605,2,85,73,72,87,36,49,90,85,44,85,73,75,170
606,4,88,58,77,77,75,68,81,82,77,90,70,56,172
607,2,75,64,78,85,35,54,90,90,32,69,81,70,173
608,2,92,75,73,79,34,79,86,45,28,94,75,74,186
610,5,71,34,55,71,81,73,70,61,81,72,44,24,185
611,1,68,82,75,82,31,68,77,83,28,68,82,84,175
614,1,77,83,61,79,25,66,83,88,24,77,67,84,170
615,3,61,76,82,77,71,71,70,67,67,60,80,71,182
616,3,67,66,66,69,82,83,68,62,80,66,58,58,187
619,5,73,41,56,61,78,84,62,57,75,78,47,27,187
620,1,80,81,60,75,38,72,74,63,31,83,59,83,184
621,4,79,71,70,73,80,80,69,60,83,79,57,70,178
623,2,83,73,76,83,42,55,90,84,47,80,77,72,171
628,5,66,53,63,59,79,82,52,47,76,69,61,38,189
630,5,72,64,75,72,81,78,72,73,83,74,75,50,180
631,5,61,57,60,58,80,83,65,67,80,64,53,48,187
632,3,70,59,66,68,82,81,54,58,76,73,65,49,187
633,4,80,70,72,75,78,79,75,66,75,82,62,61,184
642,2,86,76,79,84,52,73,88,75,39,85,83,76,178
643,4,95,51,69,78,75,69,85,77,76,94,62,52,177
645,2,91,72,72,85,29,71,80,78,17,91,74,69,184
646,1,80,79,57,76,27,77,73,70,15,81,63,82,181
647,5,64,39,51,62,84,75,62,55,85,66,50,33,190
648,2,83,73,75,82,36,64,83,72,34,83,77,68,183
650,3,75,71,79,81,66,69,75,75,60,75,81,63,181
653,4,80,67,74,75,78,79,69,67,79,81,68,70,182
656,3,75,75,76,75,77,82,73,75,74,75,77,73,181
657,3,48,49,73,69,76,79,55,62,65,47,75,26,183
660,2,92,73,72,85,41,56,83,76,45,93,75,78,178
661,2,93,71,72,85,38,58,94,91,23,93,77,69,173
668,1,82,86,75,77,39,71,69,72,33,81,75,85,182
678,4,82,72,68,73,75,83,75,71,73,85,59,60,175
679,4,73,71,79,77,76,74,76,72,79,74,74,71,176
682,1,44,82,76,70,42,73,49,40,25,52,79,83,196
684,5,51,30,41,56,81,83,31,52,82,54,51,19,185
687,4,83,63,72,79,75,72,82,82,75,82,72,58,175
688,4,78,57,78,79,76,71,73,72,78,78,72,50,181
692,1,72,84,71,77,24,68,72,75,15,68,71,81,180
693,1,86,77,70,85,26,58,79,75,16,87,71,83,181
694,3,65,63,67,68,78,86,62,55,77,66,63,59,186
695,1,55,75,59,66,28,78,40,33,15,57,70,78,195
696,1,82,81,73,84,23,50,84,86,14,82,76,84,173
697,4,75,64,65,68,84,77,71,67,85,75,60,55,183
698,5,55,39,49,52,84,71,50,60,86,55,42,23,185
699,1,86,79,73,85,29,53,89,90,21,86,70,79,175
700,3,62,66,76,74,72,76,52,54,64,65,74,61,188
701,2,85,80,71,79,39,76,87,72,27,85,72,82,180
702,3,77,72,81,80,69,74,87,91,69,77,76,66,172
703,2,74,73,77,78,66,77,77,58,59,73,74,66,186
707,2,87,67,76,78,70,72,76,75,70,89,74,70,183
708,3,64,70,83,75,73,72,69,75,70,61,80,61,180
711,3,67,61,68,67,79,82,74,57,78,68,62,54,185
712,5,65,43,52,50,78,84,51,61,79,66,44,23,184
713,4,84,64,74,75,73,74,74,73,69,82,64,54,177
714,4,67,69,78,74,79,79,64,58,75,66,76,55,187
717,2,90,71,73,82,31,67,84,85,24,90,73,70,169
718,1,85,79,70,76,32,73,75,66,26,85,75,81,187
719,1,71,75,67,70,30,85,50,37,25,73,79,77,196
720,1,91,78,67,78,39,72,70,70,34,92,74,79,179
721,3,69,54,65,67,78,85,60,57,77,77,62,46,190
722,2,82,70,76,85,26,53,87,88,20,79,76,69,170
723,5,72,51,62,65,82,76,67,64,80,74,71,41,186
725,2,86,71,76,85,36,76,83,82,24,86,75,66,176
726,5,48,51,73,53,80,70,41,45,77,50,67,35,190
727,4,83,59,71,74,76,74,81,80,76,83,57,53,171
728,4,86,50,72,75,75,75,78,80,76,88,59,24,174
729,5,59,35,48,53,80,83,31,32,76,66,38,23,196
731,2,89,71,73,84,42,70,84,88,39,89,71,68,175
732,5,43,33,48,46,79,84,32,32,80,51,35,23,185
733,5,76,31,44,59,82,77,73,79,84,77,30,25,183
734,5,70,54,65,64,80,76,69,71,80,72,61,51,187
736,3,54,67,83,73,76,78,67,76,76,54,80,51,181
737,5,46,47,57,50,79,81,31,29,74,46,50,34,199
739,2,92,75,78,80,61,52,93,94,66,92,76,74,166
740,4,95,51,68,77,74,68,84,77,75,94,62,52,177
741,5,74,36,55,62,81,75,60,51,79,78,51,33,193
742,4,79,60,76,82,76,66,84,86,78,75,70,57,170
747,4,81,62,78,79,75,77,78,86,75,83,78,54,170
749,1,76,78,72,85,36,63,79,87,23,75,73,82,173
751,2,92,73,70,82,35,67,88,85,33,91,69,76,175
753,3,82,70,74,82,71,63,84,87,75,84,76,71,169
754,3,81,69,77,78,75,74,76,72,70,84,77,64,189
755,2,76,71,80,84,28,45,90,90,18,74,80,65,169
756,4,89,63,74,80,75,68,80,74,75,88,66,58,182
757,4,82,50,66,72,77,75,76,69,77,84,56,47,182
758,5,63,39,51,62,83,72,62,55,84,65,50,33,190
760,5,72,27,57,57,78,78,48,34,79,78,60,19,194
761,1,83,79,65,86,49,58,87,83,46,80,69,81,174
764,3,68,65,74,79,79,81,85,72,73,69,75,59,183
773,3,66,67,68,72,80,89,72,66,75,69,64,62,188
774,1,86,76,68,76,31,77,77,62,30,86,71,78,185
775,4,80,66,73,76,74,81,69,58,74,83,65,60,188
777,5,77,40,63,62,78,78,64,50,79,78,57,27,190
779,3,73,60,69,72,75,83,67,80,76,69,70,50,180
780,4,80,70,71,75,76,79,75,66,73,82,61,61,184
782,2,93,72,71,81,31,55,89,82,23,93,68,70,173
783,1,74,79,72,70,45,76,46,57,29,75,68,80,189
797,3,67,61,68,67,79,82,74,57,78,68,62,54,185
798,5,48,51,73,53,80,70,41,45,77,50,67,35,190
801,3,43,79,80,73,58,68,52,55,52,34,77,75,184
803,5,45,39,56,46,82,78,31,33,81,55,54,25,197
804,2,89,65,71,84,38,63,93,92,40,89,73,69,165
807,3,60,68,82,78,67,68,69,75,60,65,84,54,181
809,4,84,51,66,67,76,77,69,70,76,83,63,40,178
810,4,88,51,69,76,73,77,79,75,70,91,58,38,180
811,5,53,57,58,57,80,81,34,43,80,63,59,44,189
812,3,68,57,66,71,77,88,72,71,76,69,62,47,180
814,4,77,66,75,80,74,76,75,53,72,77,62,60,183
815,1,73,76,62,72,47,82,61,67,42,74,61,76,183
817,5,76,52,57,65,77,81,70,65,76,79,50,48,183
818,1,67,78,62,68,49,86,62,50,42,65,65,76,191
820,2,85,72,73,84,33,53,89,80,25,84,76,70,176
821,3,74,73,76,77,75,72,74,69,79,72,75,68,180
823,1,87,76,56,68,42,77,75,68,42,87,60,80,185
824,3,74,71,77,79,54,72,70,54,39,75,79,63,185
825,4,81,72,75,77,74,78,77,79,75,78,66,61,178
827,3,66,66,67,72,78,89,72,66,74,69,64,62,188
830,3,75,71,78,83,63,71,84,77,55,73,77,64,180
831,3,69,73,74,76,73,87,71,54,68,69,74,65,186
833,4,77,47,63,64,78,84,50,50,77,78,54,27,189
834,3,62,70,78,68,71,86,62,57,59,65,73,58,187
835,1,85,76,73,80,34,78,90,76,32,87,74,75,177
838,1,82,75,70,77,26,80,77,63,12,85,77,75,184
840,2,92,70,70,82,24,59,83,75,19,91,69,68,178
842,3,61,60,71,62,79,82,56,40,77,66,66,44,188
843,5,66,40,50,57,77,82,60,44,76,67,42,35,188
844,5,75,35,65,71,78,76,64,57,79,75,59,29,188
845,1,89,74,67,82,26,67,85,69,16,92,68,70,184
846,4,86,49,70,77,73,70,88,92,74,84,60,27,170
847,2,88,73,74,78,42,74,85,76,38,87,75,70,178
848,4,86,50,67,76,74,74,78,74,73,86,55,48,179
849,4,86,60,75,81,76,68,84,78,78,86,72,54,175
850,3,73,71,76,76,72,73,76,66,66,73,81,69,180
851,2,92,66,71,83,40,56,88,82,30,92,74,67,175
852,1,85,74,68,76,31,73,77,62,30,85,71,76,185
854,2,91,70,70,83,29,71,79,77,17,91,72,68,184
855,4,86,46,72,78,73,72,77,78,71,86,69,37,176
856,2,89,75,71,81,51,61,81,67,43,88,71,75,180
857,5,72,52,51,63,77,84,61,52,75,75,48,43,189
858,3,73,74,74,73,76,80,72,73,74,73,75,73,181
860,1,77,80,71,74,40,79,74,74,35,76,70,79,192
861,2,92,71,69,84,34,49,93,90,21,92,74,69,173
864,3,73,71,76,76,72,73,76,66,66,73,81,69,180
868,1,86,76,70,85,26,66,88,84,20,86,73,77,175
869,5,41,54,48,40,78,86,26,42,78,49,31,46,191
870,1,69,80,64,69,35,86,65,71,28,69,69,78,183
871,4,84,71,71,82,66,73,78,83,60,80,73,70,177
875,3,80,74,77,80,73,80,84,69,71,78,81,75,180
876,5,61,56,60,56,78,81,62,64,78,64,53,47,187
877,4,90,53,64,77,71,70,86,78,69,92,60,50,177
878,1,82,74,62,77,48,80,80,70,38,83,63,72,185
879,1,83,77,57,69,30,81,69,63,24,83,59,80,183
882,2,92,70,70,82,24,59,83,75,19,91,69,68,178
892,1,73,76,62,72,47,82,61,67,42,74,61,76,183
894,1,80,79,68,85,33,65,86,74,22,78,63,78,176
895,5,81,55,61,58,76,76,61,54,75,85,55,48,188
