,Name,Rating,Position,Version,Price,Skills,Weak_Foot,Attack\Defense,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing
21,Buffon,88,GK,Normal,7.8K,1,2,M \ M,87,88,68,84,49,90,"192cm | 6'3""",43,466,-,55,49,10,GK,43,50,15
22,Cech,88,GK,Normal,6.4K,1,3,M \ M,83,90,77,85,45,85,"196cm | 6'5""",42,465,-,49,34,11,GK,52,17,12
23,Pepe,88,CB,Normal,14K,2,3,M \ H,70,50,56,59,88,81,"188cm | 6'2""",14,404,-,63,49,88,CB,75,48,46
24,Lahm,88,RB,Normal,15.5K,3,3,M \ H,68,56,82,84,86,64,"170cm | 5'6""",19,440,-,82,93,86,RB,68,82,47
25,Chiellini,88,CB,Normal,8.5K,2,2,L \ H,74,46,53,58,90,85,"187cm | 6'1""",82,406,-,61,69,92,CB,78,50,33
26,Higuaín,88,ST,Normal,13.5K,3,4,H \ M,80,87,68,82,24,74,"184cm | 6'0""",70,415,-,74,60,12,ST,82,70,91
27,Lloris,88,GK,Normal,8K,1,1,M \ M,87,87,68,90,65,82,"188cm | 6'2""",67,479,-,55,54,12,GK,63,30,10
28,Godín,88,CB,Normal,13K,2,3,M \ H,65,48,65,63,88,79,"185cm | 6'0""",28,408,-,63,58,87,CB,67,52,42
29,Kroos,88,CM,Normal,17.5K,3,5,M \ M,45,80,88,79,69,70,"182cm | 5'11""",27,431,-,70,62,63,CM,37,88,75
30,Hazard,88,LM,Normal,43K,4,4,H \ M,90,81,82,91,32,64,"173cm | 5'8""",126,440,-,92,90,25,LM,87,86,80
31,Reus,88,LM,Normal,24.75K,4,4,M \ M,90,85,84,86,40,63,"180cm | 5'10""",183,448,-,87,82,30,LM,91,84,83
32,De Bruyne,88,CAM,Normal,33K,4,4,H \ M,77,83,86,84,40,75,"181cm | 5'11""",155,445,-,78,75,30,CAM,78,88,82
33,Griezmann,88,ST,Normal,30K,4,3,H \ M,86,85,78,87,30,67,"176cm | 5'9""",416,433,-,90,80,23,ST,86,76,88
34,Pogba,88,CM,Normal,95.5K,5,4,H \ M,77,80,83,87,72,87,"191cm | 6'3""",365,486,-,79,61,68,CM,79,86,71
35,Sánchez,88,ST,Normal,30K,4,3,H \ H,86,84,79,88,40,78,"169cm | 5'6""",54,455,-,90,87,30,ST,84,82,85
36,Pepe,88,CB,Normal,7K,2,3,M \ H,70,50,56,59,88,81,"188cm | 6'2""",6,404,-,63,49,88,CB,75,48,46
37,Robben,87,RM,Normal,17.5K,4,2,H \ L,86,85,81,90,32,62,"180cm | 5'10""",92,436,-,89,91,29,RM,86,83,84
38,Handanovic,87,GK,Normal,4K,1,2,M \ M,86,89,69,86,54,86,"193cm | 6'3""",55,470,-,42,36,17,GK,57,41,10
39,Benzema,87,ST,Normal,18K,4,4,M \ L,81,84,77,82,22,74,"187cm | 6'1""",71,420,-,77,60,13,ST,82,85,88
40,David Silva,87,CAM,Normal,7.9K,4,2,H \ L,68,72,87,87,32,58,"170cm | 5'6""",18,404,-,92,88,23,CAM,65,92,70
41,Rakitic,87,CM,Normal,11.75K,3,3,M \ M,66,84,86,82,59,66,"184cm | 6'0""",24,443,-,71,66,52,CM,65,87,83
42,Hummels,87,CB,Normal,9K,2,3,H \ M,64,58,74,71,88,77,"191cm | 6'3""",30,432,-,64,58,85,CB,65,79,55
43,Vidal,87,CM,Normal,21K,3,4,H \ H,77,81,80,79,84,84,"180cm | 5'10""",116,485,-,75,77,76,CM,76,80,77
44,Di María,87,RW,Normal,10.5K,5,2,H \ M,87,79,84,87,47,70,"180cm | 5'10""",59,454,-,90,79,37,RW,88,85,75
45,Bonucci,87,CB,Normal,6.8K,2,3,M \ H,70,53,68,69,87,81,"190cm | 6'2""",64,428,-,60,54,84,CB,74,74,37
46,Sánchez,87,LW,Normal,27.75K,4,3,H \ H,86,82,79,88,39,74,"169cm | 5'6""",73,448,-,90,87,30,LW,84,82,83
47,Sergio Busquets,87,CDM,Normal,11.5K,3,3,M \ M,42,59,79,74,83,81,"189cm | 6'2""",11,418,-,58,55,83,CDM,33,85,60
48,Müller,87,CF,Normal,9.5K,3,4,H \ H,78,83,77,78,46,72,"186cm | 6'1""",47,434,-,77,72,31,CF,79,81,89
49,Alaba,87,LB,Normal,20.5K,3,4,H \ M,86,73,81,83,83,73,"180cm | 5'10""",71,479,-,83,77,82,LB,86,78,63
50,Rodríguez,87,CAM,Normal,15.75K,4,3,M \ M,76,85,85,85,40,68,"180cm | 5'10""",67,439,-,82,73,25,CAM,75,88,82
51,Oblak,87,GK,Normal,6.9K,1,3,M \ M,83,90,77,82,43,87,"186cm | 6'1""",16,462,-,67,49,14,GK,60,55,11
52,Piqué,87,CB,Normal,12.5K,2,3,H \ M,65,61,70,65,86,77,"193cm | 6'3""",3,424,-,58,44,86,CB,71,62,64
53,Aubameyang,87,ST,Normal,34.5K,3,4,H \ L,96,84,76,81,37,73,"187cm | 6'1""",26,447,-,81,66,28,ST,96,78,88
54,Rodríguez,87,CAM,Normal,35K,4,3,M \ M,76,85,85,85,40,68,"180cm | 5'10""",4,439,-,82,73,25,CAM,75,88,82
55,Bonucci,87,CB,Normal,7K,2,3,M \ H,70,53,68,69,87,81,"190cm | 6'2""",1,428,-,60,54,84,CB,74,74,37
56,Barzagli,86,CB,Normal,3.5K,2,3,L \ H,74,37,56,63,89,79,"187cm | 6'1""",38,398,-,60,64,90,CB,79,58,27
57,Kompany,86,CB,Normal,6.7K,2,3,M \ M,69,54,62,65,86,81,"192cm | 6'3""",12,417,-,60,42,86,CB,69,59,45
58,Santi Cazorla,86,CAM,Normal,5K,4,5,M \ M,71,78,85,86,57,64,"168cm | 5'6""",35,441,-,85,91,56,CAM,66,85,77
59,Piqué,86,CB,Normal,12.5K,2,3,H \ M,61,61,70,64,86,76,"193cm | 6'3""",21,418,-,58,44,86,CB,67,62,64
60,Ribéry,86,LM,Normal,9.6K,5,4,H \ M,82,76,83,90,25,59,"170cm | 5'6""",49,415,-,90,91,13,LM,79,86,76
61,Cesc Fàbregas,86,CM,Normal,6.2K,3,3,H \ M,63,77,89,81,61,64,"175cm | 5'8""",14,435,-,65,77,62,CM,62,91,76
62,Miranda,86,CB,Normal,4K,2,3,M \ M,75,49,56,64,89,77,"186cm | 6'1""",30,410,-,62,58,89,CB,76,53,43
63,Matuidi,86,CDM,Normal,5K,2,2,H \ H,79,67,78,76,83,84,"175cm | 5'8""",68,467,-,77,79,83,CDM,79,77,65
64,Marchisio,86,CM,Normal,6.7K,4,4,H \ H,77,74,83,83,76,75,"180cm | 5'10""",105,468,-,81,76,72,CM,77,84,65
65,Marcelo,86,LB,Normal,17.5K,4,4,H \ M,79,69,80,84,82,80,"174cm | 5'8""",49,474,-,77,82,80,LB,80,75,67
66,Payet,86,LM,Normal,6.7K,4,4,H \ M,77,78,87,87,42,70,"175cm | 5'8""",31,441,-,78,80,29,LM,75,88,76
67,Aubameyang,86,ST,Normal,33K,3,4,H \ L,96,84,75,80,37,71,"187cm | 6'1""",175,443,-,80,66,28,ST,96,77,88
68,Jordi Alba,86,LB,Normal,13K,3,3,H \ M,93,69,75,83,81,75,"170cm | 5'6""",30,476,-,90,86,81,LB,93,68,73
69,Leno,86,GK,Normal,2.9K,1,4,M \ M,85,86,80,83,46,86,"190cm | 6'2""",15,466,-,52,44,8,GK,52,53,9
70,Payet,86,LM,Normal,4.6K,4,4,H \ M,77,78,87,87,42,70,"175cm | 5'8""",-11,441,-,78,80,29,LM,75,88,76
71,Coutinho,86,LW,Normal,11.25K,4,4,H \ M,83,77,83,88,35,64,"171cm | 5'7""",18,430,-,92,92,25,LW,77,88,72
72,Diego Costa,86,ST,Normal,7.6K,3,4,H \ M,77,83,63,78,40,89,"188cm | 6'2""",6,430,-,58,52,28,ST,78,74,89
73,Dybala,86,ST,Normal,27K,4,3,M \ M,88,86,77,90,24,66,"176cm | 5'9""",52,431,-,91,85,14,ST,85,80,89
74,Cavani,86,ST,Normal,6.2K,3,3,H \ M,77,84,72,80,42,80,"184cm | 6'0""",9,435,-,83,59,24,ST,79,78,85
75,Mascherano,85,CB,Normal,7K,2,3,M \ H,66,53,71,69,85,80,"174cm | 5'8""",18,424,-,71,78,84,CB,65,68,42
76,Dani Alves,85,RB,Normal,7.8K,3,3,H \ L,87,70,76,82,78,69,"172cm | 5'7""",28,462,-,81,80,70,RB,89,67,60
77,Mandanda,85,GK,Normal,3.4K,1,3,M \ M,86,80,79,85,53,81,"185cm | 6'0""",3,464,-,52,36,10,GK,43,51,13
78,Filipe Luís,85,LB,Normal,6.8K,3,3,H \ M,80,62,77,77,82,79,"182cm | 5'11""",20,457,-,74,60,85,LB,83,70,59
79,Koscielny,85,CB,Normal,4.4K,2,3,M \ H,78,40,62,65,85,78,"186cm | 6'1""",97,408,-,70,62,83,CB,78,56,32
80,Ruffier,85,GK,Normal,1.6K,1,3,M \ M,82,83,77,87,45,83,"188cm | 6'2""",6,457,-,51,55,11,GK,50,49,11
81,Hamšik,85,CM,Normal,4.4K,3,4,H \ M,76,78,83,82,64,69,"183cm | 6'0""",37,452,-,76,63,56,CM,77,86,78
82,Bravo,85,GK,Normal,4K,1,3,M \ M,83,85,87,85,58,78,"184cm | 6'0""",1,476,-,64,64,11,GK,54,71,13
83,Cavani,85,ST,Normal,6.5K,3,3,H \ M,76,83,71,79,42,80,"184cm | 6'0""",18,431,-,82,59,24,ST,78,77,84
84,Diego Costa,85,ST,Normal,7.8K,3,4,H \ M,75,82,63,77,40,88,"188cm | 6'2""",27,425,-,58,52,28,ST,76,74,88
85,Pjanic,85,CM,Normal,4.8K,4,4,M \ M,74,75,86,84,64,68,"180cm | 5'10""",83,451,-,78,78,58,CM,74,88,70
86,Willian,85,RM,Normal,9.2K,4,4,H \ H,89,74,80,86,50,63,"175cm | 5'8""",68,442,-,87,82,43,RM,86,83,75
87,Alderweireld,85,CB,Normal,4K,2,3,M \ M,66,58,70,64,86,79,"186cm | 6'1""",20,423,-,60,49,85,CB,69,60,45
88,Gaitán,85,LM,Normal,3.1K,4,2,M \ M,82,74,83,86,39,58,"173cm | 5'8""",11,422,-,89,81,30,LM,80,85,73
89,Gündogan,85,CM,Normal,4.7K,4,4,H \ M,75,72,84,87,63,72,"180cm | 5'10""",48,453,-,85,83,57,CM,74,87,67
90,Coutinho,85,CAM,Normal,11K,4,4,H \ M,82,74,82,87,33,56,"171cm | 5'7""",115,414,-,91,91,24,CAM,77,87,70
91,Pastore,85,CM,Normal,4.8K,4,4,H \ M,74,77,84,86,58,68,"187cm | 6'1""",13,447,-,85,58,49,CM,75,88,75
92,Otamendi,85,CB,Normal,4.4K,2,3,M \ M,72,56,56,53,85,82,"183cm | 6'0""",22,404,-,71,62,83,CB,75,45,53
93,Mkhitaryan,85,RM,Normal,6.1K,4,5,H \ H,83,77,81,87,55,70,"177cm | 5'9""",45,453,-,88,83,49,RM,82,85,73
94,Navas,85,GK,Normal,4K,1,3,M \ M,87,82,72,85,61,80,"185cm | 6'0""",18,467,-,70,60,12,GK,52,54,15
95,Lacazette,85,ST,Normal,8.4K,4,4,H \ H,86,82,75,84,34,76,"175cm | 5'8""",187,437,-,87,84,23,ST,87,77,86
96,Verratti,85,CM,Normal,2.7K,4,4,H \ H,68,58,83,87,78,68,"165cm | 5'4""",24,442,-,87,94,78,CM,64,84,52
97,Mahrez,85,RM,Normal,4.6K,5,4,M \ M,82,77,80,88,30,58,"179cm | 5'10""",51,415,-,92,80,25,RM,79,83,80
98,Dybala,85,ST,Normal,24.5K,4,3,M \ M,88,86,76,90,23,66,"176cm | 5'9""",462,429,-,91,85,14,ST,85,79,89
99,Kane,85,ST,Normal,3.9K,3,3,H \ H,73,85,72,79,42,82,"188cm | 6'2""",9,433,-,74,62,41,ST,77,73,89
100,Eriksen,85,CAM,Normal,3.8K,4,5,H \ M,76,76,85,85,45,60,"177cm | 5'9""",38,427,-,77,81,38,CAM,74,86,75
101,Nainggolan,85,CM,Normal,10K,3,3,H \ H,80,79,80,81,81,84,"176cm | 5'9""",61,485,-,81,84,78,CM,78,77,75
102,Mertens,85,LW,Normal,3.2K,4,4,H \ L,90,78,79,88,36,55,"169cm | 5'6""",33,426,-,94,93,30,LW,86,81,73
103,Sokratis,85,CB,Normal,1.8K,2,3,M \ M,78,51,55,62,86,84,"186cm | 6'1""",25,416,-,65,69,88,CB,83,52,44
104,Thiago,85,CM,Normal,2.8K,5,3,M \ M,72,75,83,89,58,64,"174cm | 5'8""",15,441,-,90,85,49,CM,68,85,69
105,Javi Martinez,85,CB,Normal,2.2K,2,3,M \ M,52,61,71,67,85,79,"190cm | 6'2""",4,415,-,55,59,80,CB,54,75,55
106,Lacazette,85,ST,Normal,32.5K,4,4,H \ H,86,82,75,84,34,76,"175cm | 5'8""",33,437,-,87,84,23,ST,87,77,86
107,Dani Alves,85,RB,Normal,16K,3,3,H \ L,87,70,76,82,78,69,"172cm | 5'7""",-5,462,-,81,80,70,RB,89,67,60
108,Terry,84,CB,Normal,2.7K,2,4,M \ H,34,47,57,51,86,80,"187cm | 6'1""",13,355,-,44,46,86,CB,34,59,46
109,Touré,84,CM,Normal,4.9K,3,4,M \ L,74,83,81,77,69,84,"189cm | 6'2""",115,468,-,60,55,63,CM,78,85,82
110,José Reina,84,GK,Normal,1.8K,1,3,M \ M,80,85,82,83,50,84,"188cm | 6'2""",0,464,-,50,60,12,GK,63,65,14
111,Xabi Alonso,84,CDM,Normal,6.7K,2,4,L \ M,33,70,87,75,76,71,"183cm | 6'0""",13,412,-,54,67,70,CDM,33,87,56
112,Rooney,84,CAM,Normal,3.2K,3,4,M \ H,71,84,81,79,53,86,"176cm | 5'9""",113,454,-,77,77,48,CAM,73,83,84
113,Aduriz,84,ST,Normal,1.6K,3,3,H \ M,70,83,64,76,46,79,"182cm | 5'11""",11,418,-,53,57,46,ST,71,73,85
114,Turan,84,CM,Normal,1.7K,4,4,H \ H,72,74,83,86,61,73,"177cm | 5'9""",22,449,-,86,77,54,CM,68,86,72
115,Hart,84,GK,Normal,1.4K,1,3,M \ M,84,81,75,87,59,82,"196cm | 6'5""",31,468,-,50,32,14,GK,60,42,14
116,Ben Arfa,84,CAM,Normal,3.5K,5,4,H \ L,82,82,79,88,40,74,"178cm | 5'10""",115,445,-,85,79,33,CAM,80,81,82
117,Garay,84,CB,Normal,950,2,3,M \ M,52,57,68,64,87,81,"188cm | 6'2""",10,409,-,57,38,88,CB,54,63,48
118,Sturridge,84,ST,Normal,3.9K,4,2,M \ L,89,83,69,81,25,70,"188cm | 6'2""",130,417,-,78,64,15,ST,89,74,85
119,Naldo,84,CB,Normal,2.5K,2,4,H \ M,72,69,64,62,86,74,"198cm | 6'5""",21,427,-,53,42,83,CB,76,59,57
120,Sokratis,84,CB,Normal,1.3K,2,3,M \ M,78,51,55,60,85,83,"186cm | 6'1""",31,412,-,63,67,87,CB,83,52,44
121,Jonas,84,ST,Normal,3.8K,3,5,H \ M,72,85,78,84,35,65,"181cm | 5'11""",27,419,-,82,67,23,ST,71,83,87
122,Javi Martinez,84,CB,Normal,2.3K,2,3,M \ M,52,61,70,65,84,78,"190cm | 6'2""",9,410,-,54,58,80,CB,54,74,55
123,Sommer,84,GK,Normal,950,1,4,M \ M,83,82,85,85,48,80,"183cm | 6'0""",5,463,-,55,58,11,GK,54,58,13
124,Rui Patrício,84,GK,Normal,2K,1,2,M \ M,85,81,80,83,53,82,"190cm | 6'2""",10,464,-,61,54,13,GK,57,63,12
125,Juan Mata,84,CAM,Normal,1.7K,3,3,M \ M,68,75,84,85,32,54,"170cm | 5'6""",11,398,-,89,89,25,CAM,63,87,77
126,Nainggolan,84,CM,Normal,9K,3,3,H \ H,79,78,78,81,81,84,"176cm | 5'9""",201,481,-,81,84,78,CM,78,76,75
127,Banega,84,CAM,Normal,2K,4,4,M \ M,71,71,85,83,64,69,"174cm | 5'8""",26,443,-,84,86,57,CAM,69,88,67
128,Fährmann,84,GK,Normal,1.1K,1,2,M \ M,83,86,51,87,38,85,"196cm | 6'5""",36,430,-,39,36,12,GK,47,42,11
129,Höwedes,84,CB,Normal,900,2,3,M \ M,65,47,63,65,84,78,"187cm | 6'1""",7,402,-,65,61,85,CB,67,57,48
130,David Luiz,84,CB,Normal,11.5K,3,3,H \ M,73,64,73,71,82,79,"189cm | 6'2""",46,442,-,74,56,81,CB,73,68,56
131,Azpilicueta,84,LB,Normal,2.2K,3,3,M \ M,79,56,75,74,84,77,"178cm | 5'10""",36,445,-,75,73,86,LB,79,68,46
132,Toprak,84,CB,Normal,1K,2,5,M \ M,76,39,62,67,86,75,"187cm | 6'1""",13,405,-,65,61,87,CB,77,59,28
133,Ramsey,84,CM,Normal,1.5K,3,3,H \ H,69,77,80,81,68,76,"177cm | 5'9""",25,451,-,77,75,62,CM,69,81,76
134,Thiago,84,CM,Normal,2.6K,5,3,M \ M,72,75,82,89,57,62,"174cm | 5'8""",65,437,-,90,85,49,CM,68,84,69
135,Smalling,84,CB,Normal,2K,2,3,M \ H,77,46,56,62,84,84,"192cm | 6'3""",330,409,-,60,48,84,CB,77,49,50
136,Eriksen,84,CAM,Normal,3.5K,4,5,H \ M,76,76,84,84,44,59,"177cm | 5'9""",96,423,-,77,81,38,CAM,74,85,75
137,Douglas Costa,84,LM,Normal,3.9K,5,3,M \ L,92,78,78,86,48,63,"170cm | 5'6""",110,445,-,90,88,41,LM,88,80,72
138,Alex Sandro,84,LB,Normal,2.5K,3,3,H \ H,87,64,75,81,79,76,"180cm | 5'10""",103,462,-,79,76,76,LB,90,70,57
139,Matic,84,CDM,Normal,2.7K,3,3,M \ H,67,70,76,72,81,88,"194cm | 6'4""",47,454,-,57,53,76,CDM,68,77,64
140,Götze,84,CAM,Normal,1.5K,4,4,M \ M,70,70,78,89,31,61,"176cm | 5'9""",15,399,-,86,84,16,CAM,67,82,75
141,Lukaku,84,ST,Normal,5.8K,3,4,M \ M,82,82,66,74,34,84,"190cm | 6'2""",195,422,-,62,48,27,ST,86,69,84
142,Manolas,84,CB,Normal,1.2K,2,2,M \ H,80,19,42,60,86,82,"189cm | 6'2""",69,369,-,69,60,88,CB,80,22,10
143,Koke,84,CM,Normal,2.2K,3,4,H \ H,71,75,85,82,55,74,"178cm | 5'10""",22,442,-,77,78,50,CM,69,89,71
144,Krychowiak,84,CDM,Normal,1.8K,2,3,M \ H,70,58,73,67,81,87,"186cm | 6'1""",20,436,-,59,52,75,CDM,73,73,42
145,Isco,84,CAM,Normal,3.9K,4,3,H \ M,72,75,80,86,39,62,"176cm | 5'9""",29,414,-,83,82,25,CAM,69,84,76
146,Xhaka,84,CM,Normal,1.1K,3,4,M \ M,51,66,81,72,72,77,"185cm | 6'0""",6,419,-,55,62,71,CM,54,86,49
147,Varane,84,CB,Normal,2.7K,2,3,M \ M,77,45,60,63,85,78,"191cm | 6'3""",59,408,-,58,47,84,CB,78,56,40
148,Kane,84,ST,Normal,3.9K,3,3,H \ H,73,84,71,78,42,81,"188cm | 6'2""",37,429,-,74,62,41,ST,77,72,88
149,Draxler,84,CAM,Normal,3.2K,4,5,M \ L,77,79,80,86,34,64,"187cm | 6'1""",55,420,-,83,75,25,CAM,77,81,77
150,William Carvalho,84,CDM,Normal,1.2K,3,4,M \ H,54,59,74,74,82,85,"187cm | 6'1""",6,428,-,49,46,78,CDM,54,77,55
151,Bacca,84,ST,Normal,2.3K,3,2,M \ L,85,81,64,81,24,74,"181cm | 5'11""",24,409,-,81,75,12,ST,85,66,88
152,André Gomes,84,CM,Normal,3.3K,3,4,M \ M,69,71,80,83,71,81,"188cm | 6'2""",31,455,-,68,64,65,CM,66,83,68
153,Laporte,84,CB,Normal,1.7K,2,2,M \ M,65,50,66,61,86,78,"189cm | 6'2""",10,406,-,49,55,86,CB,71,52,45
154,Draxler,84,CAM,Normal,2K,4,5,M \ L,77,79,80,86,34,64,"187cm | 6'1""",43,420,-,83,75,25,CAM,77,81,77
155,Mandanda,84,GK,Normal,2.9K,1,3,M \ M,85,80,77,85,53,80,"185cm | 6'0""",3,460,-,52,36,10,GK,43,51,13
156,Otamendi,84,CB,Normal,3K,2,3,M \ M,72,55,56,53,83,81,"183cm | 6'0""",1,400,-,71,62,81,CB,75,45,52
157,Perišic,84,LM,Normal,1.7K,4,5,H \ M,85,80,79,82,42,76,"186cm | 6'1""",12,444,-,78,67,26,LM,87,79,77
158,Insigne,84,LW,Normal,2.4K,4,3,H \ M,90,72,80,89,25,52,"163cm | 5'4""",15,408,-,96,94,16,LW,85,83,70
159,Icardi,84,ST,Normal,2K,2,4,M \ L,79,82,59,77,26,68,"181cm | 5'11""",9,391,-,75,77,17,ST,80,60,89
160,Pastore,84,CM,Normal,2.3K,4,4,H \ M,74,75,83,86,58,67,"187cm | 6'1""",2,443,-,85,58,49,CM,75,86,73
161,Glik,84,CB,Normal,900,2,2,L \ M,61,24,45,53,86,82,"190cm | 6'2""",10,351,-,33,55,87,CB,64,24,11
162,Subašic,84,GK,Normal,850,1,2,M \ M,82,79,79,84,51,83,"191cm | 6'3""",4,458,-,42,37,15,GK,54,52,10
163,Mascherano,84,CB,Normal,3.1K,2,3,M \ H,66,53,71,68,83,80,"174cm | 5'8""",8,421,-,69,76,82,CB,65,68,42
164,Bruno,84,CM,Normal,1K,3,3,M \ H,52,72,79,75,78,77,"184cm | 6'0""",4,433,-,53,59,70,CM,52,82,66
165,Carrasco,84,LM,Normal,2.2K,4,4,H \ M,88,78,76,87,29,64,"180cm | 5'10""",20,422,-,94,73,19,LM,89,74,74
166,Sergio Asenjo,84,GK,Normal,950,1,3,M \ M,86,83,79,85,59,82,"189cm | 6'2""",9,474,-,62,58,12,GK,54,46,14
167,Carvajal,84,RB,Normal,2.6K,2,3,H \ M,82,45,74,79,82,79,"173cm | 5'8""",17,441,-,82,79,85,RB,85,58,41
168,Banega,84,CAM,Normal,1K,4,4,M \ M,71,71,85,83,64,69,"174cm | 5'8""",1,443,-,84,86,57,CAM,69,88,67
169,Toprak,84,CB,Normal,900,2,5,M \ M,76,39,62,67,86,75,"187cm | 6'1""",5,405,-,65,61,87,CB,77,59,28
170,Lukaku,84,ST,Normal,8K,3,4,M \ M,82,82,66,74,34,84,"190cm | 6'2""",16,422,-,62,48,27,ST,86,69,84
171,Rooney,84,CAM,Normal,3.4K,3,4,M \ H,71,84,81,79,53,86,"176cm | 5'9""",4,454,-,77,77,48,CAM,73,83,84
172,Mandanda,84,GK,Normal,1.1K,1,3,M \ M,85,80,77,85,53,80,"185cm | 6'0""",2,460,-,52,36,10,GK,43,51,13
173,Douglas Costa,84,LM,Normal,5.9K,5,3,M \ L,92,78,78,86,48,63,"170cm | 5'6""",5,445,-,90,88,41,LM,88,80,72
174,Hart,84,GK,Normal,1.5K,1,3,M \ M,84,81,75,87,59,82,"196cm | 6'5""",5,468,-,50,32,14,GK,60,42,14
175,Matic,84,CDM,Normal,3.8K,3,3,M \ H,67,70,76,72,81,88,"194cm | 6'4""",3,454,-,57,53,76,CDM,68,77,64
176,Quaresma,83,RM,Normal,1.5K,5,4,H \ M,84,76,81,88,18,60,"175cm | 5'8""",9,407,-,89,84,10,RM,83,80,70
177,Danny,83,CAM,Normal,4.8K,4,4,H \ L,83,73,80,84,33,64,"178cm | 5'10""",9,417,-,84,75,23,CAM,83,84,75
178,Júlio César,83,GK,Normal,1.8K,1,3,M \ M,83,82,62,84,39,82,"186cm | 6'1""",3,432,-,69,56,19,GK,43,67,12
179,De Rossi,83,CDM,Normal,1K,2,4,M \ H,69,64,73,70,81,82,"185cm | 6'0""",18,439,-,69,72,75,CDM,69,72,50
180,Mertesacker,83,CB,Normal,1.2K,2,3,L \ M,27,41,56,48,88,75,"198cm | 6'5""",10,335,-,29,28,88,CB,28,58,36
181,Lichtsteiner,83,RB,Normal,1.1K,2,3,H \ H,81,59,73,76,79,80,"182cm | 5'11""",11,448,-,75,77,76,RB,84,62,45
182,Toulalan,83,CDM,Normal,2.4K,2,3,M \ H,50,50,76,71,79,81,"183cm | 6'0""",1,407,-,57,64,68,CDM,49,79,27
183,Schweinsteiger,83,CM,Normal,2.5K,3,3,H \ H,51,76,83,75,75,74,"183cm | 6'0""",9,434,-,67,63,68,CM,52,85,70
